Record_ID,Partition_Role,Training_Eligibility,Leakage_Group,Metal_Ligand_Group,Source_Type,Source_Record_ID,Source_DOI,Source_Data_DOI,Source_Data_URL,Source_URL,Article_Title,MOF,Legante,Ligand_SMILES,Ligand_InChIKey,Famiglia_Legante,Metallo,Sale_Metallico,Counterion_Class,Hydration_Number,Oxidation_State,Solvente,Solvent_1,Solvent_1_mL,Solvent_2,Solvent_2_mL,Solvent_3,Solvent_3_mL,Solvent_4,Solvent_4_mL,Solvent_5,Solvent_5_mL,Additivo_Colinker,mmol_Additive,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume_solvente_mL,Total_Precursor_Concentration_M,Heating_Method,Microwave_Power_W,Workup,Outcome_Class,Outcome_Label,Outcome_Raw_Score,Outcome_Score_Scale,Outcome_Mapping_Rule,Curation_Policy,Yield_percent,BET_m2_g,PXRD_Confirmed,SCXRD_Confirmed,Evidence_Type,Evidence_Statement,Extraction_Method,Extraction_Note,Protocol_Completeness,Precursor_Qualification,Experiment_Generation,Condition_Signature,Replicate_Group_Size,Source_Group_Size,Source_Group_Cap_Factor,Evidence_Quality_Weight,Training_Weight,Curation_Version,Leakage_Safe_Group
V11-LIT-017,TRAINING_CANDIDATE,True,DOI::10.1021/acs.inorgchem.0c00481,"PAIR::co::3-amino-4,4'-bipyrazole",peer_reviewed_literature,V11-LIT-017,10.1021/acs.inorgchem.0c00481,,,https://doi.org/10.1021/acs.inorgchem.0c00481,Cobalt(II) Bipyrazolate Metal–Organic Frameworks as Heterogeneous Catalysts in Cumene Aerobic Oxidation: A Tag-Dependent Selectivity,Co(BPZNH2)·DMF,"3-amino-4,4'-bipyrazole",,,Bipyrazole/pyrazole,Co,Co(NO3)2·6H2O,nitrate,6.0,2,DMF,DMF,15.0,,,,,,,,,Nessuno,,120,24.0,1.0,1.0,1.0,15.0,0.1333333333333333,Heated stirred synthesis,,Slow-cooled; filtered; washed with hot DMF (2 × 10 mL); dried under vacuum,2,Crystalline MOF,,,,,,,True,False,PXRD whole-pattern refinement,Dark-violet Co(BPZNH2)·DMF; PXRD showed two closely related Cccm phases and supported the reported open framework.,manual_primary_article,"Direct transcription of the experimental section: 0.149 g ligand (1.00 mmol), 0.291 g Co(NO3)2·6H2O (1.00 mmol), 15 mL DMF, 393 K, 24 h; reported yield 73%.",FULL_PROTOCOL,Precursor identity and hydration explicitly reported.,,COND-89fa24e63f03afa9,1,1,1.0,1.0,1.0,11.0-foundation-tranche-03,SAFE-GROUP-001
V11-ALPMOF-G1S11,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S11,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMSO (80:20 v/v),H2O,1.6,DMSO,0.4,,,,,,,Nessuno,,190,0.3333333333333333,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,7.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,True,False,PXRD qualitative categorical score,"Supporting Table S4: G1S11, article-assigned crystallinity score 7/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-cdb78668fcca1b5f,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S12,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S12,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/EtOH (80:20 v/v),H2O,3.2,EtOH,0.8,,,,,,,Nessuno,,200,0.5,0.025,0.05,0.5,4.0,0.01875,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,2.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S12, article-assigned crystallinity score 2/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-d207cba5f47ad32c,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S13,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S13,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMF (80:20 v/v),H2O,1.6,DMF,0.4,,,,,,,Nessuno,,175,0.5,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",0,Failed / no isolated powder,1.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S13, article-assigned crystallinity score 1/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-e47ef643a1b1244d,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S14,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S14,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMF (80:20 v/v),H2O,1.6,DMF,0.4,,,,,,,Nessuno,,190,1.0,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,3.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S14, article-assigned crystallinity score 3/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-0b31d40852a1f47f,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S15,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S15,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/EtOH (80:20 v/v),H2O,1.6,EtOH,0.4,,,,,,,Nessuno,,200,0.3333333333333333,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,3.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S15, article-assigned crystallinity score 3/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-b2c8b294c6595d86,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S16,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S16,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMSO (80:20 v/v),H2O,3.2,DMSO,0.8,,,,,,,Nessuno,,200,0.3333333333333333,0.025,0.05,0.5,4.0,0.01875,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,3.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S16, article-assigned crystallinity score 3/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-99f1ccb8ed003e42,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S17,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S17,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMF (80:20 v/v),H2O,3.2,DMF,0.8,,,,,,,Nessuno,,190,0.6666666666666666,0.025,0.05,0.5,4.0,0.01875,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,2.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S17, article-assigned crystallinity score 2/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-9fc4e39f4317bf82,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S18,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S18,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMF (80:20 v/v),H2O,1.6,DMF,0.4,,,,,,,Nessuno,,190,0.6666666666666666,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,2.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S18, article-assigned crystallinity score 2/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-c09a30ff05afb9aa,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S19,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S19,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/EtOH (80:20 v/v),H2O,1.6,EtOH,0.4,,,,,,,Nessuno,,180,0.6666666666666666,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,250.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,8.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,True,False,PXRD qualitative categorical score,"Supporting Table S4: G1S19, article-assigned crystallinity score 8/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-65da55d331ba92fa,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S20,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S20,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMSO (80:20 v/v),H2O,1.6,DMSO,0.4,,,,,,,Nessuno,,190,0.6666666666666666,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,8.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,True,False,PXRD qualitative categorical score,"Supporting Table S4: G1S20, article-assigned crystallinity score 8/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-ac2d72b3e203b8db,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S21,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S21,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/1-propanol (80:20 v/v),H2O,3.2,1-propanol,0.8,,,,,,,Nessuno,,175,0.8333333333333334,0.025,0.05,0.5,4.0,0.01875,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,3.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S21, article-assigned crystallinity score 3/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-8448912970a78cbd,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S22,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S22,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMA (80:20 v/v),H2O,1.6,DMA,0.4,,,,,,,Nessuno,,175,0.3333333333333333,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,5.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S22, article-assigned crystallinity score 5/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-957cbe87dd873f9b,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S23,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S23,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMA (80:20 v/v),H2O,1.6,DMA,0.4,,,,,,,Nessuno,,175,1.0,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,5.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S23, article-assigned crystallinity score 5/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-0e7e19df438f203a,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S24,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S24,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/1-propanol (80:20 v/v),H2O,1.6,1-propanol,0.4,,,,,,,Nessuno,,190,0.3333333333333333,0.051,0.099,0.5151515151515151,2.0,0.075,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,5.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S24, article-assigned crystallinity score 5/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-3457dfee3c5d1a13,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G1S25,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G1S25,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMA (80:20 v/v),H2O,3.2,DMA,0.8,,,,,,,Nessuno,,190,0.3333333333333333,0.025,0.05,0.5,4.0,0.01875,Automated microwave synthesis,300.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,2.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S25, article-assigned crystallinity score 2/10.",manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1.0,COND-fbfe5d6916490a6b,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G2S1,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G2S1,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/1-propanol (80:20 v/v),H2O,1.6,1-propanol,0.4,,,,,,,Nessuno,,190,0.75,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,200.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,8.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,38.0,,True,False,PXRD qualitative categorical score,"Supporting Table S5: G2S1, article-assigned crystallinity score 8/10.",manual_primary_supplementary_table,"Direct transcription of Table S5; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,2.0,COND-afc999e82698247f,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
V11-ALPMOF-G2S2,TRAINING_CANDIDATE,True,DOI::10.1038/s42004-022-00785-2,PAIR::al::meso-tetra(4-carboxyphenyl)porphine (h2tcpp),peer_reviewed_literature,V11-ALPMOF-G2S2,10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,https://doi.org/10.5281/zenodo.7186602,https://doi.org/10.1038/s42004-022-00785-2,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6.0,3,H2O/DMSO (80:20 v/v),H2O,1.6,DMSO,0.4,,,,,,,Nessuno,,200,0.8333333333333334,0.025,0.05,0.5,2.0,0.0375,Automated microwave synthesis,220.0,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,10.0,,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,15.0,,True,False,PXRD qualitative categorical score,"Supporting Table S5: G2S2, article-assigned crystallinity score 10/10.",manual_primary_supplementary_table,"Direct transcription of Table S5; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,2.0,COND-743a28bc79faddbf,1,45,0.4444444444444444,1.0,0.4444444444444444,11.0-foundation-tranche-03,SAFE-GROUP-002
